poem,Label,Poet
إِنَّ القُلوبَ مَعَ العُيونِ إِذا جَنَتجاءَت بَلِيَّتُها عَلى الأَجسادِأَشكو إِلَيكَ جَفاءَ أَهلِكَ إِنَّهُمضَرَبوا عَلَيَّ الأَرضَ بِالأَسدادِ,حزن,محمود سامي البارودي
يا رَبِّ إِن عَظُمَت ذُنوبي كَثرَةًفَلَقَد عَلِمتُ بِأَنَّ عَفوَكَ أَعظَمُإِن كانَ لا يَرجوكَ إِلّا مُحسِنٌفَبِمَن يَلوذُ وَيَستَجيرُ المُجرِمُ,رثاء,ابن الرومي
دَع عَنكَ لَومي فَإِنَّ اللَومَ إِغراءُوَداوِني بِالَّتي كانَت هِيَ الداءُ,ذم,ابن الرومي
والعلم يرفع بيتاً كان منخفضاًوالجهل يجحفظه لو كان ما كاناوأرفع الناس أهل العلم منزلةوأوضع الناس من قد كان حيرانالا يهتدي لطريق الحق من عمهبل كان بالجهل ممن نال خسرانا,أمل,ابن الرومي
رَحلْتُمْ بالنُّفُوسِ فليتَ شِعْريأكانَ لكُمْ بأنفُسِنَا انْتِفاعُوخَلَّفتم جُسُوماً بالياتٍعَلَى جَمْرِ الغَرَامِ لها اضْطِجَاعُ,شوق,ابن الرومي
وندمت حين أضعت ايام الصباوأضعت فيها لذتي ورغابيواليوم صرت إذا ادّكرتُ وراجعَتقلبي بقية فتنةٍ وتصابي,حزن,ابراهيم ناجي
أَمّا الفِراقُ فَقَد عاصَيتُهُ فَأَبىوَطالَتِ الحَربُ إِلّا أَنَّهُ غَلَباأَرانِيَ البَينُ لَمّا حُمَّ عَن قَدَرٍوَداعُنا كُلَّ جِدٍّ قَبلُهُ لَعِبا,حزن,ابراهيم ناجي
مَن جاوَرَ الأُسدَ لَم يَأمَن بَوائِقَهاوَلَيسَ لِلأُسدِ إِبقاءٌ عَلى الجارِ,أمل,ابراهيم ناجي
بِحَقِّ الهَوى لا تَعذِلوني وَأَقصِرواعَنِ اللَومِ إِنَّ اللَومَ لَيسَ بِنافِعِوَكَيفَ أُطيقُ الصَبرَ عَمَّن أُحِبُّهُوَقَد أُضرِمَت نارُ الهَوى في أَضالِعي,حزن,المتنبي
وَقَبَّلتُ رَسمَ الدارِ حُبّاً لِأَهلِهاوَمَن لَم يَجِد إِلّا صَعيداً تَيَمَّماوَحَنَّت رِكابي وَالهَوى يَبعَثُ الهَوىفَلَم أَرَ في تَيماءَ إِلّا مُتَيَّما,حكمة,البحتري
وَحَسبي إِذا ما أَوجَعَتني كُربَةٌبِمُؤنِسِ يَعقوبٍ وَمُنقِذِ يونُسِ,تسامح,ابو نواس
إِذا لَم تَكُن لِمَقالِ النَصيحِسَميعاً وَلا عامِلاً أَنتَ بِهسَيُنْبِهُكَ الدَهرُ عَن رَقدَةِ المَلاهي وَإِن قُلتَ لا أَنتَبِه,دينية,ابو نواس
وَقَد كُنتُ أَحسَبُني صابِراًجَليدَ القُوى حينَ أَلقى الخُطُوبافَأَنكَرتُ نَفسي وَأَلفَيتُهاضَعيفَ القُوى إِذ فَقَدتُ الحَبيبا,عتاب,ابو نواس
أَنَّ الزَمانَ الَّذي مازالَ يُضحِكُناأُنساً بِقُربِهِمُ قَد عادَ يُبكيناغيظَ العِدا مِن تَساقينا الهَوى فَدَعَوابِأَن نَغَصَّ فَقالَ الدَهرُ آمينا,حكمة,سليمان بن سحمان
وَاللَهُ لا عَلِقَت نَفسي بِغَيرِكُمُوَلا اِتَّخَذتُ سِواكُم مِنكُمُ بَدَلا,فراق,أبو بحر الخطي
لَعَمري لَئِن قَلَّت إِلَيكَ رَسائِليلَأَنتَ الَّذي نَفسي عَلَيهِ تَذوبُفَلا تَحسَبوا أَنّي تَبَدَّلتُ غَيرَكُموَلا أَنَّ قَلبي مِن هَواكَ يَتوبُ,رثاء,رفعت الصليبي
ومن طَلَبَ الوفاءَ مِنَ اللياليعلى عِلاَّتِها طَلَبَ المُحَالالذلك لم أَزَلْ طَلْقَ المُحَيَّاوإنْ عَبَسَ الصديقُ وإن أَذَالاوعندي والغرامُ له صُروفٌبَلَوْتُ صُنوفَها حالاً فحالا,فراق,ابن حيوس
ألا إنما كسْبُ المكارمِ عادةٌوكلُّ امرئٍ يجري على ما يُعوّدُوكل حديثٍ كان أو هو كائنٌشمائلُه تُنبيكَ عنه وتشهدُ,حكمة,ابن حيوس
ولقد تركت الدهر ينشد معلناًكم آخر أزرى برتبة أولفأسعد بأيام السرور وطيبهاواستقبل الدنيا بسعد مقبل,حزن,عنترة بن شداد
من استعان بغير الله لم يعنومن تعزز بالرحمن لم يهنوأروح الناس من باتت سريرتهنقية من دخيل الحقد والضغن,رومنسية,ابن خفاجه
ما أحْرَمَ النّومَ أجفاني وحرّمَهُإلّا تغَيُّبُكُمْ يا حاضِري الحرَمِغِبْتُمْ فغيّبْتُمُ صُبحي فلسْتُ أرىإلّا بقايا ألمّتْ فيهِ منْ لِمَمي,دينية,ابن خفاجه
يا لائمي في هوى من لستُ أتركهُكم أكتم الوجدَ والأجفان تهتكهوأُطلقُ الحبَّ والأحشاءُ تمسكهقالوا دعِ الحبَّ يا هذا ومسلكهُ,اخلاق,الميكالي
ولمّا زارني سَحَراً حبيبٌبلطْفِ الخطو قد أخفىْ بحالهرعىْ الرقباءُ في مسراه وهناًإِلى أن خِلتُ من أهوى خياله,حزن,الميكالي
يحنُّ الحبيبُ إِلى رؤيتيوإني إليه أشدُّ حنيناوتهفو النفوسُ ويأبى القضافاشكوا الأنينَ ويشكو الأنينا,حزن,ابن زيدون
أكثَرتِ هَجري غَيرَ أَنَّك رُبَّماعَطَفَتكِ أَحيانا عَليّ أُمورُفَكأَنَّما زَمَنُ التَهاجُرِ بَينَنالَيلٌ وَساعاتُ الوِصال بُدورُ,رومنسية,ابن زيدون
سَكِّن فُؤادكَ لا تَذهَب بِهِ الفِكَرُماذا يُعيد عَلَيكَ البَثُّ وَالحذرُوَإِن يَكُن قَدرٌ قد عاق عَن وَطَرٍفَلا مَرَدّ لما يأتي بِهِ القدرُ,عتاب,ابن زيدون
وحَقِّ ما غادرتْ عيناك من رَمقِىوما أثار الهوى والشوقُ من قَلقيوما تَبوح دموعي للوُشاةِ بهفيكم ويكتمه قلبي من الحُرَق,عتاب,ابن قلاقس
ليس يُجدِى القولُ منفعةًحين تُبديه بلا عمل,اخلاق,ابن قلاقس
ما كُنتُ أَحسَبُ أَنَّ الدهرَ يَفجَعُنِيبِهِ وَلا أَن بِي الأَيّامَ تَفجعُهُحَتّى جَرى البَينُ فِيما بَينَنا بِيَدٍعَسراءَ تَمنَعُنِي حَظّي وَتَمنَعُهُ,أمل,عمارة اليمني
وَلَمّا سَكَنتَ القَلبَ لَم يَبقَ مَوضِعٌبِجِسمِيَ إِلّا وَدَّ لَو أَنَّه قَلبُمَتى سَهِرَت عَيني لِغَيرِ جَمالِكُمفَلا بَرِحَت عِندي مَدامِعُها سُكبُ,دينية,عمارة اليمني
العَيْنُ تُبْدي الذي في قَلْبِ صاحبِهامِن الشَّناءَةِ أوْ حُبٍّ إذا كاناإنَّ البَغيضَ لهُ عينٌ تُكَشِّفُهُلا تَسْتطيعُ لما في القلْبِ كِتْمانا,رومنسية,ابن معتوق
مَلكْنا فكان العَفْو منَّا سَجيَّةًفلمَّا ملكْتُمْ سالَ بالدَّمِ أبْطَحُوحَلَّلْتُمُ قتلَ الأسارى وطالَماغَدوْنا عن الأسْرى نَعفُّ ونصفَح,حزن,ابن معتوق
وما بعضنا إِلا يودع بعضنالكفت كفاة القاسطين فتكفتحياة الفتى كالغصن ريان مورقفلم يدر إِلا وهو عريان مسحتوما هي إلا كالستر نجيّ مصلتايؤول لغمد وهو للحشر يصلت,غزل,ابن النقيب
فها نحن أموات وأبناؤنا معاًوآباء أموات كهولاً وشبانافحظ عظيم القدر في قسمة الردىوفي اللحد إلا حظ من قدره هانا,شوق,ابن النقيب
لكم مِن فؤادي شاهدٌ ليس يكذبُومِن دمعِ عيني صامتٌ وهو مُعرِبُولي من شهودِ الحبَّ خدٌّ مُخَدَّدٌوقلبٌ على نارِ الغرامِ يُقَلَّبُ,حزن,المعتمد بن عباد
فَقَضى حَقَّ هَواهُ إِذا قَضىفَعَلَيهِ نادِ في الأَحياءِ حَيهَكَذا إِن شِئتَ أَن تَحيا فَمُتأَو فَعِش مِيتاً شَقِيّاً يا غُبَي,غزل,المعتمد بن عباد
لي حَبيب فِداهُ كُل حَبيبلَيسَ إِلّا بِهِ الحَياة تَطيبقَد دَعاني مُتَيماً وَكَئيبمَدداً يا أَنيس كُل غَريب,غزل,ظافر الحداد
لِكُلِ كَريم في البِلاد أَخلةوَما لِبِخيل في الأَنام خَليل,حكمة,ظافر الحداد
ليس الغنى كثير المال يخزنهلحادث الدهر أو للوارث الشانيإن الغنى غني النفس قانعهاموفر الحظ من زهد وإيمان,حزن,ابن زريق البغدادي
إِذا كُنتُ لَستَ مَعي فَالذِكرُ مِنكَ مَعييَراكَ قَلبي وَإِن غُيِّبتَ عَن بَصَريالعَينُ تُبصِرُ مَن تَهوى وَتَفقِدُهُوَناظِرُ القَلبِ لا يَخلو مِنَ النَظَرِ,غزل,بلبل الغرام الحاجري
وَمِن عَجَبٍ أَنّي أَحِنُّ إِلَيهِمُوَأَسأَلُ عَنهُم مَن أَرى وَهُم مَعيوَتَطلُبُهُم عَيني وَهُم في سَوادِهاوَيَشتاقُهُم قَلبي وَهُم بَينَ أَضلُعي,حكمة,الحيص بيص
هُوَ المَوتُ عَضبٌ لا تَخونُ مَضارِبُهوَحَوضٌ زُعاقٌ كُلُّ مَن عاشَ شارِبُهوَما الناسُ إِلّا وارِدوهُ فَسابِقٌإِلَيهِ وَمَسبوقٌ تَخِبُّ نَجائِبُهيُحِبُّ الفَتى إِدراكَ ما هُوَ راغِبٌوَيُدرِكُهُ لابُدَّ ما هُوَ راهِبُهفَكَم لابِسٍ ثَوبَ الحَياةِ فَجاءَهُعَلى فَجأَةٍ عادٍ مِنَ المَوتِ سالِبُه,شجاعة,الحيص بيص
إِلى اللَهِ أَشكو طَوعَ نَفسِيَ لِلهَوىوَإِسرافَها في غَيِّها وَعُيوبهادَعَتني إِلى ما تَشتَهي فَأَجَبتُهافَضاعَ نَصيبي في طِلابي نَصيبهاإِذا سُقتُها لِلصالِحاتِ تَقَعَّسَتوَدَبَّت عَلى كُرهٍ إِلَيها دَبيبَها,فراق,اللواح
فَأَوَّلُ صَبْرِي كَانَ آخِرَ سَلْوَتِيوَآخِرُ صَبْرِي كَانَ أَوَّلَ أَدْمُعِي,حزن,اللواح
إِنَّ يَوْمَ الْفِرَاقِ أَحْرَقَ قَلْبِيوَكَوَانِي الْفِرَاقُ بِالنَّارِ كَيَّاإِنْ قَضَى اللهُ بَيْنَنَا بِاجْتِمَاعٍلاَ ذَكَرْتُ الْفِرَاقَ مَا دُمْتُ حَيَّا,غزل,الملك الأمجد
لا تُخْفِ ما صَنَعَتْ بِكَ الأَشْواقُوَاشْرَحْ هَواكَ فَكُلُّنَا عُشَّاقُقَدْ كَانَ يُخْفي الحُبَّ لَوْلَا دَمْعُكَ الجَارِي وَلَوْلا قَلْبُكَ الخَفَّاقُ,رومنسية,المكزون السنجاري
وَتَقْنَعُ مِنْكَ الرُّوحُ لَمْحَ تَوَهُّمٍفَتَحْيا بِهَا الأَعضَاءُ وَهْيَ رَمِيمُهَنِيئاً لِطَرْفٍ فِيكَ لا يَعْرِفُ الكَرَىوَتَبّاً لِقَلْبٍ فِيكَ لَيْسَ يَهيمُ,رومنسية,الامير منجك باشا
لِيْ مِنْ هَوَاكَ بَعيدُهُ وَقَريبُهُولَكَ الجَمالُ بَديعُهُ وَغَرِيبُهُيا مَنْ أُعِيذُ جَمالَهُ بِجلاَلِهِحَذَراً عَلَيْهِ مِنَ العُيونِ تُصِيبُهُإِنْ لَمْ تَكُنْ عَيْني فَإِنَّكَ نُورُهَاأَوْ لَمْ تَكُنْ قَلْبي فأَنْتَ حَبيبُهُ,اخلاق,الامير منجك باشا
تَدْنُو القُلوبُ مِن القُلُوبِوإنْ تَباعَدَتِ الدِّيَارُوبِذا قَنَعْتُ مِن الأَحِبةِ لا أزورُ ولا أُزارُ,حكمة,ابن علوي الحداد
أَلا يا رَسول اللَه يا أَشرَف الوَرىوَيا مَن عَلَيهِ لا يَزال تَطفليتملكني صدق الوداد وَلَم يَزَليُداخلني التَّبريح في كُل مفصلِ,رومنسية,القاضي الفاضل
متى تعود ليالينا التي سلفتويرجع النوم عيناي من السفركأنما كانت الدنيا هم وبهامرآهم حيث كانوا مشرح النظر,شوق,القاضي الفاضل
مَدْحُ النَّبيِّ أُمانُ الخائفِ الوجِلِفامْدَحْهُ مَرْتَجِلاً أَوْ غيرَ مُرْتَجِلِوَلا تُشَبِّبْ بأَوْطَانٍ وَلا دِمَنٍولا تُعَرِّجْ عَلَى رَبْعٍ ولا طَلَلِ,رثاء,ابن رازكه
بَذَلَ المُحِبُّ لِمَنْ أَحَبَّ دُمُوعَهُوَطَوَى حَشَاهُ عَلَى أَحَرِّ رَسِيسِصَدِّقْ وَقُلْ مَنْ لَمْ يَقُمْ كَقِيامِهِلَمْ يَنْتَفِعْ مِنْهُ امْرُؤٌ بِجُلُوسِ,رومنسية,ابن رازكه
فما لعينيكَ إن قلتَ اكففا هَمَتاومَا لِقَلْبِك إنْ قُلْتَ اسْتَفِقْ يَهِمِأَيَحْسَبُ الصَّبُّ أنَّ الحُبَّ مُنْكتِمٌما بَيْنَ مُنْسَجِم منهُ ومضطَرِمِ,حزن,ابن زاكور
أقول لقلبي كلما اشتقت للغنىإذا جاء نصر اللضه بُتَّت يَدُ الفَقرِوإن جئتَهُ بالمدح يلقاك باللَّهَىفكم مرةٍ قد قابل النظم بالنثرِ,فراق,ابن زاكور
تاللَه ما اخترتُ الخمولَ وإنمالله حكمٌ ليس بالمدفوعمالي قَنِعتُ فصرتُ أُدعَى عاجزاوالعَجزُ منسوبٌ لكلِّ قَنُوعٍ,شوق,الشاب الظريف
يا غادراً بي ولم أغدر بصحبتِهوكان مني مكان السمع والبصرقد كنت من قلبك القاسي أخال جفاًفجاء ما خلته نقشاً على حجر,غزل,الشاب الظريف
أقولُ لقلبيَ العاني تصبَّرْوإن بَعُدَ المساعدُ والحبيبعسى الهمّ الذي أمسيتُ فيهيكون وراءه فرجٌ قريب,رومنسية,الشاب الظريف
هذا الحبيب وذا فكري وذا جلدِيفي راحتيه فقل لي كيف أنساهإنِّي لأعلم أنَّ الرشد أجمعهفي تركه غير أنَّ النفس تهواه,سعادة,السراج الوراق
وَلقدْ مررْتُ على اللّئيمِ يسبُّنيفمضيْتُ ثُمَّت قُلْتُ لا يعْنينِيغَضْبانَ ممتلئاً عليَّ إهابهُإنّي وربِّكَ سُخْطُهُ يرْضيني,دينية,الباعونية
الخَيرُ خَيرٌ وَإِن طالَ الزَمانُ بِهِوَالشَرُّ أَخبَثُ ما أَوعَيتَ مِن زادِ,حزن,ابن مليك الحموي
أَتَعلَمُ مَلكَ الحُبشِ أَنَّ مُحَمَّداًنَبِيٌّ كَموسى وَالمَسيحِ اِبنِ مَريَمِأَتى بِهُدىً مِثلَ الَّذي أَتَيا بِهِوَكُلٌّ بِأَمرِ اللَهِ يَهدي وَيَعصِمِ,دينية,البوصيري
لَكِ الخَيرُ غُضّي اللَومَ عَني فَإِنَّنيأُحِبُّ مِنَ الأَخلاقِ ما كانَ أَجمَلاإِذا اِنصَرَفَت نَفسي عَنِ الشَيءِ مَرَّةًفَلَستُ إِلَيهِ آخِرَ الدَهرِ مُقبِلا,مدح,البوصيري
مِن حَياةٍ قَد مَلِلنا طولَهاوَجَديرٌ طولُ عَيشٍ أَن يُمَلّ,مدح,البوصيري
وَلَستُ أَرى السَعادَةَ جَمعَ مالٍوَلَكِنَّ التَقيَّ هُوَ السَعيدُوَتَقوى اللَهِ خَيرُ الزادِ ذُخراًوَعِندَ اللَهِ لِلأَتقى مَزيدُ,أمل,أبو الحسين الجزار
أَكني بِغيرِ اِسمِها وَقَد عَلِمَاللَهُ خَفِيّاتِ كُلِّ مُكتَتَمِمَخافَةَ الكاشِحِ المُكَثِّرِ أَنيَطرَحَ فيها عَوائِرَ الكَلِمِ,حزن,أبو الحسين الجزار
بانَت سُعادُ فَقَلبي اليَومَ مَتبولُمُتَيَّمٌ إِثرَها لَم يُجزَ مَكبولُهَيفاءُ مُقبِلَةً عَجزاءُ مُدبِرَةًلا يُشتَكى قِصَرٌ مِنها وَلا طولُ,عتاب,ابن نباته المصري
وَإِنّي إِذا ما قُلتُ قَولاً فَعَلتُهُوَلَستُ بِمِخلافٍ لِقَولي مُبَدَّلِوَقَد عَلِمَت بِالغَيبِ أَنّي أُحِبُّهاوَأَنّي لِنَفسي مالِكٌ في تَجَمَّلِ,شوق,ابن نباته المصري
وَساعٍ يَجمَعُ الأَموالَ جَمعاًلِيورِثَها أَعاديهِ شَقاءَوَكَم ساعٍ لِيُثري لَم يَنَلهُوَآخَرُ ما سَعى نالَ الثَراءِ,شوق,ابن نباته المصري
مالي وللدُّنْيَا وهْيَ بَحْرُ هَوَىفِي حُضْنِهَا نَامَ مُــولــعٌ يَعْـيَـــــــاأَمْعَنْتُ فِيهَا بَصِــيــرَتِي فَبِـهَاأَيْقَنْتُ أَنَّ المُنَى ارْتَقَتْ وَحْــــيَــــا,شجاعة,شمر الحنفي
أهكذا حتى ولا مرحباللّه أشكو قلبك القلباناشدتك اللّه وأيامناونشوة الحب بوادي الصبا,حكمة,طرفة بن العبد
جرى الحب في قلبي كما العلو في الأرضوأُبدي من بعضي وأُخفي في بعضيولو قسَّمَ الأكوانُ ما فيَّ من هوىلأُفْعِمَتِ الأكوانُ في العلو والأرض,دينية,أبو طالب
والأصل في الحب ابتداءً نظرةٌفَنَمت وعادت عِلّةً لا تبرأأترى أحبتَنا الأُلى سكنوا الحِمىذكروا فتىً عن ذكرهم لا يفتأ,اخلاق,حسان بن ثابت
فإذا غابت فقلبي غائبلست أدري كيف قلبي عقنيوإذا حاولت يوما هجرهاقلت للقلب فلا يسمعنيلا أرى الوصف عليها قادرافهي فاقت كل شيء حسن,حياة,لبيد بن ربيعة
أذاب الشوق مني كل عضوفإني قد خفيت عن الزمانفلو أني بكيت لقال تشكوولو أني سلوت لقال هان,حكمة,الحطيئة
أَجِدَّكَ ما لِعَينِكَ لا تَنامُكَأَنَّ جُفونَها فيها كِلامُلِأَمرِ مُصيبَةٍ عَظُمَت وَجَلَّتوَدَمعُ العَينِ أَهوَنُهُ اِنسِجامُفُجِعنا بِالنَبِيِّ وَكانَ فيناإِمامَ كَرامَةٍ نِعمَ الإِمامُ,عتاب,النابغة الجعدي
دَعَوتُكَ يا كُلَيبُ فَلَم تُجِبنيوَكَيفَ يُجيبُني البَلَدُ القِفارُسَقاكَ الغَيثُ إِنَّكَ كُنتَ غَيثاًوَيُسراً حينَ يُلتَمَسُ اليَسارُ,غزل,كعب بن زهير
وَإِنّي لَعَفٌّ عَن مَطاعِمَ تُتَّقىوَمُكرِمُ نَفسي عَن دَنِيّاتِ مَأكَلِوَما إِن كَسَبتُ المالَ إِلّا لِبَذلِهِلِطارِقِ لَيلٍ أَو لِعانٍ مُكَبَّلِ,فراق,الأعشى
فإذا أَقَمْتَ على الصُّدُودِوكلُّ حُبِّي ما نَهاكْفغَدًا سأرحلُ عن حَياتِكَ غاضِبًا، أرجو رِضاكْ!,حكمة,يزيد بن معاوية
وَالظُلمُ حَوضٌ لَيسَ يُسقى بِهِذو مَنعَةٍ في كُلِّ أَمرٍ يُطيقفَإِن أَبَيتُم فَاِركَبوها بِمافيها مِنَ الفِتنَةِ ذاتِ البُروق,حياة,سهام آل براهمي
وما خير معروف الفتى في شبابهإذا لم يزده الشيب حين يشيبُوما السائل المحروبُ يَرجعُ خائباًولكن بخيل الأغنياء يخيبُ,عتاب,مصطفى التل
أَبكي الَّذينَ تَبوأوا الغُرَفَ العُلىفَجَرَت لَهُم مِن تَحتِها الأَنهارُأَبكي لِنَفسي لا لَهُم أَبكيهِمُلا صَبرَ حَيثُ تَعارُفُ الأَبرارِ,رومنسية,ماء العينين
إِنَّ الَّذي يَقبِضُ الدُنيا وَيَبسطُهاإِن كانَ أَغناكَ عَنّي سَوفَ يُغنينيواللَهُ يَعلَمُني وَاللَهُ يَعلَمُكُموَاللَهُ يَجزَيَّكُم عَنّي وَيَجزيني,حب,ابن شيخان السالمي
جف قلبي من الحنين فغاضتعبراتي وأقفرت منذ حينوحسبت الدموع ذكرى توارتبين ماضي حياتي المكنون !,رومنسية,إبراهيم الأسطى
وَقَد تَصدق الأَحلام وَالظن كاذِبوَلَيسَ كَرَأيِ العَينِ مِن خَبَرٍ عندِيوَأَجمَل شَيء فِي العُلا عَفو قادِرعَلَى مُذنب لَم يَقتَرِف زِلة الجَحدِ,شوق,أبو الفيض الكتاني
أَلا إِنَّ قَلبي مِن فِراقِ أَحِبَّتيوَإِن كُنتُ لا أُبدي الصَبابَةَ جازِعُوَدَمعِيَ بَينَ الحُزنِ وَالصَبرِ فاضِحيوَسِتري عَنِ العُذّالِ عاصٍ وَطائع,رثاء,أبو بكر الصديق
قَسَماً بما لا قَيْتُ مِنْ مَضَضِ الْهوىإِني لأَسْرارِ الْهَوى لَكَتُومُأَمَّا المَحَبَّةُ في الْمَذَاقِ فإِنَّهاكالشَّهْدِ إِلاَّ أَنَّهُ مَسْمُومُ,رثاء,عدي بن ربيعة
رجعت لكعبتي فوجدت قبراوزهرا حوله تلهو الأفاعيعبدتك في الهوى زمنا طويلاوصرت اليوم أهرب من ضياعي,اخلاق,دريد بن الصمة
أنت يا من صَـدَّ عنيإنَّ شـوقي في ازديـادِلا تعـادي قَطُّ مهـمازاد حُـمْقي أو عـنادي,فراق,عبد الولي الشميرى
وَمَهما تَكُن عِندَ اِمرِئٍ مِن خَليقَةٍوَإِن خالَها تَخفى عَلى الناسِ تُعلَمِوَمَن لا يَزَل يَستَحمِلُ الناسَ نَفسَهُوَلا يُغنِها يَوماً مِنَ الدَهرِ يُسأَمِ,حزن,جساس بن مرة
رميت رمحك في غدرٍ فأسقطنيورُحت تضحك من حُمقي ومن هوسيتركتني في دجى الأيام هامدةًكجثةٍ طويت في سرمد الدمسِ,حكمة,الأقرع بن معاذ
إذا نظرت إلى الأيام ماضيةًحسبتها لحظة مرت ولم تزدوإن تفكرت فيها وهي آتيةٌظننت كل غدٍ أنأى من الأبد,حزن,حبيب الهلالي
لَقَد ثَبَتَت في القَلبِ مِنكِ مَحَبَّةٌكَما ثَبَتَت في الراحَتَينِ الأَصابِعُوَلَو كانَ هَذا مَوضِعَ العَتبِ لَاِشتَفىفُؤادي وَلَكِن لِلعِتابِ مَواضِعُ,حياة,خفاف بن ندبة السلمي
أجل نحن الحجاز ونحن نجدهنا مجد لنا وهناك مجدونحن جزيرة العرب افتداهاويفديها غطارفة وأسد,حزن,سيد قطب
وَما الناسُ إِلّا العاشِقونَ ذَوو الهَوىوَلا خَيرَ فيمَن لا يُحِبُّ وَيَعشَقُ,حكمة,ابن الأبار البلنسي
صَوتُ صَفِيرِ البُلبُلِهَيَّجَ قَلبِي التَمِلِالماءُ وَالزَهرُ مَعاًمَع زَهرِ لَحظِ المُقَلِوَأَنتَ يا سَيِّدَ لِيوَسَيِّدِي وَمَولى لِي,فراق,بشار بن برد
وَعَلّمتَني كَيفَ الهَوى وَجهلتهوَعَلَّمكم صَبري عَلى ظُلمِكُم ظُلمِيوَأَعلَم ما لي عِندَكُم فَيَميل بيهَوايَ إلى جَهل فَأُقصِر عَن عِلمِ,حزن,ابن رشيق القيرواني
وإذا الموت من المرء دناخار منه كل ما ليس يخورإنما القوى كالناس لهاأجل يمضي فيعروها الدثور,غزل,فاروق جويدة
"سُبْحَانَ مَنْ ألّفَ الضِّدَّيْنِ فِي خَلَديفَرْطَ الشّجَاعَةِ فِي فَرْطٍ مِنَ الجُبُنِلا أتّقي خَزَراتِ ""الذِّئْبِ"" تَرْصُدُنيوأتّقِي نَظَراتِ ""الأَدْعَجِ"" الشّدِنِ",غزل,مَحمد اسموني
يا مَن تَبَجَّحَ في الدُنيا وَزُخرُفِهاكُن مِن صُروفِ لَياليها عَلى حَذَرِوَلا يَغُرَّنكَ عَيشٌ إِن صَفا وَعَفافَالمَرءُ مِن غُرَرِ الأَيامِ في غَرَرِ,اخلاق,زهير بن أبي سلمى
يا حبيبي هواكَ أضنى فؤاديوكأنَّ الجَوى بجسمي حِرابأضرمَ النَّارَ في الحنايا لهيباًمثلَ ليلٍ أضاءَ فيهِ شِهاب,غزل,سامي المالكي
فَإِن تَسأَلوني بِالنِساءِ فَإِنَّنيبَصيرٌ بِأَدواءِ النِساءِ طَبيبُإِذا شابَ رَأسُ المَرءِ أَو قَلَّ مالُهُفَلَيسَ لَهُ مِن وُدِّهِنَّ نَصيبُيُرِدنَ ثَراءَ المالِ حَيثُ عَلِمنَهُوَشَرخُ الشَبابِ عِندَهُنَّ عَجيبُ,حياة,فؤاد الخطيب
قَد أَماتَ الهِجرانُ صِبيانُ قَلبيفَفُؤادي مُعَذَّبٌ في خِبالكَسَرَ البَينُ لَوحَ كَبدي فَما أَطــمَعَ مِمَّن هَوَيتَهُ في وِصال,عتاب,قيس بن الملوح
ما أَكثَرَ الناسَ لا بَل ما أَقَلَّهُمُاللَهُ يَعلَمُ أَنّي لَم أَقُل فَنَداإِنّي لَأَفتَحُ عَيني حينَ أَفتَحُهاعَلى كَثيرٍ وَلَكِن لا أَرى أَحَدا,وطنية,غازي القصيبي
وَأَفنَيتُ عُمري بِاِنتِظارِيَ وَعدَهاوَأَبلَيتُ فيها الدَهرَ وَهوَ جَديدُ اذا قُلتُ رُدّي بَعضَ عَقلي أَعِش بِهِتَوَلَّت وَقالَت ذاكَ مِنكَ بَعيدُ,سعادة,العباس بن الأحنف
وَلي نَفسٌ تَتوقُ إِلى المَعاليسَتَتلِفُ أَو أُبَلِّغُها مُناها,أمل,الأصمعي
وفي الدّيارِ قصورٌ ماتَ منْ فيهاأمسَتْ بموتهمُ الحياةُ في الموْتَىحتّى الجمادُ جوارَهمْ غدا عظمًاأمسيْتُ في وجهِهِ أُكلِّمُ الصّمتَ,عتاب,إبراهيم الصولي
قف شامخا مثل المآذن طولاو إبعث رصاصك وابلا سجّيلامزّق به زمر الغزاة أذقهمطعم المنون على يدي عزريلا,فراق,جلواح
لا تقلْ أصلي وفصلي أبداإنما أصلُ الفتى ما قدْ حصلْقيمةُ الإنسانِ ما يحسِنُهُأكثرَ الإنسانُ منهُ أوْ أقلْ,شجاعة,محمد مهدي الجواهري
فَيَا رَبِّ جَنِّبْنَا مَذَلَّةَ حاجةٍتُنَالُ بماءِ الْوَجْهِ في عُسْرِها نَيْلَا!فأَنْتَ سَخِيُّ الْفَضلِ ما خَابَ سائلٌدعاكَ، تُثِيبُ الْعَبْدَ في مَحْلِهِ هَطْلَامَذَلَّةُ خَلْقِ اللهِ للهِ عِزَّةٌوذِلَّتُهُمْ لِلْخَلْقِ يا بُؤْسَهُمْ ذُلَّا,حياة,ابن المعتز
لِكُلِّ شَيءٍ إِذا ما تَمّ نُقصانُفَلا يُغَرَّ بِطيبِ العَيشِ إِنسانُهِيَ الأُمُورُ كَما شاهَدتُها دُوَلٌمَن سَرّهُ زَمَن ساءَتهُ أَزمانُوَهَذِهِ الدارُ لا تُبقي عَلى أَحَدٍوَلا يَدُومُ عَلى حالٍ لَها شانُ,رومنسية,محمد بن عبود العمودي
يا أَخا البدرِ سناء وسنىحفظ اللَه زماناً أطلَعكإن يطُل بعدك ليلي فلكمبتّ أشكو قصرَ الليل مَعك,مدح,علقمة الفحل
